feature,coef
beehiiv_spend_adstock,-4866.158317362256
beehiiv_impr_sat,3333.1491335738447
google_spend_adstock,1690.6696928163549
liveintent_spend_adstock,1585.1232454199192
engine_spend_adstock,1153.7696593530052
moloco_spend_adstock,858.4267913872245
meta_impr_sat,-598.7274212222503
moloco_impr_sat,540.3860711502792
amazon_impr_sat,538.8746541799991
google_impr_sat,-508.1826528749502
tiktok_impr_sat,-490.24427866801847
tiktok_spend_adstock,486.4004728998597
amazon_spend_adstock,-430.74006104434983
snapchat_spend_adstock,-407.42914571013165
billboards_spend_adstock,-322.8348309005146
meta_spend_adstock,276.4641166867095
liveintent_impr_sat,246.26948450618897
tv_spend_adstock,-236.53569637816292
snapchat_impr_sat,179.49966260199585
engine_impr_sat,-168.3726681147471
walmart_spend_adstock,-93.46391503334824
emails_spend_adstock,39.07848956098921
